**Arms** bend at the elbow.|Synset('arm.n.01')
Germany sells **arms** to Saudi Arabia.|Synset('arm.n.03')
The **key** broke in the lock.|Synset('key.n.01')
The **key** problem was not one of quality but of quantity.|Synset('key.n.02')
Work out the **solution** in your head.|Synset('solution.n.02')
Heat the **solution** to 75° Celsius.|Synset('solution.n.01')
The house was burnt to **ashes** while the owner returned.|Synset('ash.n.01')
This table is made of **ash** wood.|Synset('ash.n.02')
The **lunch** with her boss took longer than she expected.|Synset('lunch.v.01')
She packed her **lunch** in her purse.|Synset('lunch.n.01')
The **classification** of the genetic data took two years.|Synset('categorization.n.03')
The journal Science published the **classification** this month.|Synset('classification.n.02')
His cottage is near a small **wood**.|Synset('forest.n.01')
The statue was made out of a block of **wood**.|Synset('wood.n.01')
